ProductID;LocationID;Tipo;Quantity
317;1;C         ;283
318;1;C         ;136
319;1;C         ;308
320;1;C         ;481
321;1;C         ;569
322;1;C         ;622
323;1;C         ;603
324;1;C         ;585
331;10;C         ;441
332;10;C         ;233
350;10;C         ;406
351;10;C         ;281
352;10;C         ;278
355;50;C         ;289
356;50;C         ;275
357;50;C         ;260
358;50;C         ;246
359;1;C         ;369
360;1;C         ;363
361;1;C         ;499
362;1;C         ;377
363;1;C         ;499
364;1;C         ;368
365;1;C         ;411
366;1;C         ;318
367;1;C         ;643
368;1;C         ;369
369;1;C         ;363
370;1;C         ;252
371;1;C         ;585
372;1;C         ;281
373;1;C         ;284
374;1;C         ;288
375;1;C         ;291
376;1;C         ;585
377;1;C         ;249
378;1;C         ;244
379;1;C         ;323
380;1;C         ;156
381;1;C         ;163
382;1;C         ;169
383;1;C         ;587
384;1;C         ;299
385;1;C         ;619
479;2;C         ;441
479;10;C         ;198
480;2;C         ;689
480;10;C         ;457
481;2;C         ;427
481;10;C         ;196
802;10;C         ;240
803;10;C         ;246
804;10;C         ;252
945;10;C         ;236
952;1;C         ;236
