AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_AREA_BASICA;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;IN_REDE;SG_ENTIDADE_ENSINO_REDE;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;NM_MODALIDADE_PROGRAMA;CD_PROGRAMA_IES;NM_PROGRAMA_IES;NM_PROGRAMA_IDIOMA;NM_GRAU_PROGRAMA;CD_CONCEITO_PROGRAMA;AN_INICIO_PROGRAMA;AN_INICIO_CURSO;DS_SITUACAO_PROGRAMA;DT_SITUACAO_PROGRAMA;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2018;MULTIDISCIPLINAR;CIÊNCIAS AMBIENTAIS;CIÊNCIAS AMBIENTAIS;NÃO SE APLICA;NÃO SE APLICA;49;CIÊNCIAS AMBIENTAIS;53001010;2;UNB;UNIVERSIDADE DE BRASÍLIA;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;CENTRO-OESTE;DF;BRASÍLIA;ACADÊMICO;53001010044P0;DESENVOLVIMENTO SUSTENTÁVEL;SUSTAINABLE DEVELOPMENT;MESTRADO/DOUTORADO;7;1996;1998/1996;EM FUNCIONAMENTO;27FEB2013:00:00:00;137750;73634
2018;ENGENHARIAS;ENGENHARIA CIVIL;ENGENHARIA CIVIL;NÃO SE APLICA;NÃO SE APLICA;10;ENGENHARIAS I;32005016;576;UFJF;UNIVERSIDADE FEDERAL DE JUIZ DE FORA;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUDESTE;MG;JUIZ DE FORA;ACADÊMICO;32005016106P9;ENGENHARIA CIVIL;POST-GRADUATE PROGRAM IN CIVIL ENGINEERING;MESTRADO;3;2017;2017;EM FUNCIONAMENTO;06MAR2017:00:00:00;137737;73622
2018;ENGENHARIAS;ENGENHARIA MECÂNICA;ENGENHARIA MECÂNICA;NÃO SE APLICA;NÃO SE APLICA;13;ENGENHARIAS III;42046017;5322;UNIPAMPA;FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUL;RS;ALEGRETE;ACADÊMICO;42046017004P3;ENGENHARIA;GRADUATE PROGRAM IN ENGINEERING;MESTRADO;3;2011;2011;EM FUNCIONAMENTO;23APR2012:00:00:00;138443;74281
2018;CIÊNCIAS DA SAÚDE;ODONTOLOGIA;ODONTOLOGIA;NÃO SE APLICA;NÃO SE APLICA;18;ODONTOLOGIA;33063010;322;UNIP;UNIVERSIDADE PAULISTA;NÃO;NA;PARTICULAR;PRIVADO;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;ACADÊMICO;33063010002P3;ODONTOLOGIA;PROGRAMME OF MASTER¿S DEGREE COURSE IN DENTISTRY;MESTRADO/DOUTORADO;4;1993;1993/2015;EM FUNCIONAMENTO;29OCT2012:00:00:00;138620;74392
2018;CIÊNCIAS SOCIAIS APLICADAS;PLANEJAMENTO URBANO E REGIONAL;PLANEJAMENTO URBANO E REGIONAL;NÃO SE APLICA;NÃO SE APLICA;30;PLANEJAMENTO URBANO E REGIONAL / DEMOGRAFIA;41002016;43;UDESC;UNIVERSIDADE DO ESTADO DE SANTA CATARINA;NÃO;NA;ESTADUAL;PÚBLICO;UNIVERSIDADE;SUL;SC;FLORIANÓPOLIS;ACADÊMICO;41002016163P9;PLANEJAMENTO TERRITORIAL E DESENVOLVIMENTO SÓCIO-AMBIENTAL;TERRITORIAL PLANNING AND SOCIO ENVIRONMENTAL DEVELOPMENT;DOUTORADO;4;2016;2016;EM FUNCIONAMENTO;14APR2016:00:00:00;138696;74468
2018;CIÊNCIAS DA SAÚDE;MEDICINA;MEDICINA;NÃO SE APLICA;NÃO SE APLICA;15;MEDICINA I;41015010;482;UNESC;UNIVERSIDADE DO EXTREMO SUL CATARINENSE;NÃO;NA;PARTICULAR;PRIVADO;UNIVERSIDADE;SUL;SC;CRICIÚMA;ACADÊMICO;41015010003P2;CIÊNCIAS DA SAÚDE;POSTGRADUATE PROGRAM IN HEALTH SCIENCES;MESTRADO/DOUTORADO;6;2005;2005/2007;EM FUNCIONAMENTO;25NOV2013:00:00:00;138711;74543
2018;CIÊNCIAS DA SAÚDE;ODONTOLOGIA;ODONTOLOGIA;NÃO SE APLICA;NÃO SE APLICA;18;ODONTOLOGIA;33117012;481;UNIVERITAS UNG;UNIVERSIDADE UNIVERSUS VERITAS GUARULHOS;NÃO;NA;PARTICULAR;PRIVADO;UNIVERSIDADE;SUDESTE;SP;GUARULHOS;ACADÊMICO;33117012001P7;ODONTOLOGIA;ODONTOLOGY;MESTRADO/DOUTORADO;6;2003;2003/2008;EM FUNCIONAMENTO;21FEB2013:00:00:00;138341;74173
2018;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;SOCIAIS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;32004010;592;UFLA;UNIVERSIDADE FEDERAL DE LAVRAS;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUDESTE;MG;LAVRAS;PROFISSIONAL;32004010030P0;DESENVOLVIMENTO SUSTENTÁVEL E EXTENSÃO;POST GRADUATE PROGRAM SUSTAINABLE DEVELOPMENT AND EXTENSION;MESTRADO PROFISSIONAL;3;2014;2014;EM FUNCIONAMENTO;30SEP2013:00:00:00;139605;75207
2018;LINGÜÍSTICA, LETRAS E ARTES;LETRAS;LETRAS;NÃO SE APLICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;30001013;573;UFES;UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;SUDESTE;ES;VITÓRIA;ACADÊMICO;30001013013P0;LETRAS;LITERATURE POST-GRADUATE PROGRAM;MESTRADO/DOUTORADO;5;1999;1999/2010;EM FUNCIONAMENTO;03FEB2014:00:00:00;139246;75003
2018;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS E HUMANIDADES;SOCIAIS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;53001010;2;UNB;UNIVERSIDADE DE BRASÍLIA;NÃO;NA;FEDERAL;PÚBLICO;UNIVERSIDADE;CENTRO-OESTE;DF;BRASÍLIA;ACADÊMICO;53001010089P4;DESENVOLVIMENTO, SOCIEDADE E COOPERAÇÃO INTERNACIONAL;DEVELOPMENT, SOCIETY AND INTERNACIONAL COOPERATION;MESTRADO/DOUTORADO;3;2011;2011/2011;EM FUNCIONAMENTO;29MAR2011:00:00:00;137947;73803
2018;CIÊNCIAS SOCIAIS APLICADAS;ADMINISTRAÇÃO;ADMINISTRAÇÃO DE EMPRESAS;ADMINISTRAÇÃO DE EMPRESAS;NÃO SE APLICA;27;ADMINISTRAÇÃO PÚBLICA E DE EMPRESAS, CIÊNCIAS CONTÁBEIS E TURISMO;33149011;1273;UNIFACCAMP;CENTRO UNIVERSITÁRIO CAMPO LIMPO PAULISTA;NÃO;NA;PARTICULAR;PRIVADO;CENTRO UNIVERSITÁRIO;SUDESTE;SP;CAMPO LIMPO PAULISTA;ACADÊMICO;33149011003P8;ADMINISTRAÇÃO DAS MICRO E PEQUENAS EMPRESAS;DOCTORAL IN SMALL BUSINESS MANAGEMENT;DOUTORADO;4;2017;2017;EM FUNCIONAMENTO;15MAR2017:00:00:00;139180;74857
2018;LINGÜÍSTICA, LETRAS E ARTES;LINGÜÍSTICA;PSICOLINGUÍSTICA;PSICOLINGUÍSTICA;NÃO SE APLICA;41;LINGUÍSTICA E LITERATURA;25002015;11;UNICAP;UNIVERSIDADE CATÓLICA DE PERNAMBUCO;NÃO;NA;PARTICULAR;PRIVADO;UNIVERSIDADE;NORDESTE;PE;RECIFE;ACADÊMICO;25002015003P6;CIÊNCIAS DA LINGUAGEM;SCIENCE OF LANGUAGE;MESTRADO/DOUTORADO;5;2003;2003/2015;EM FUNCIONAMENTO;07AUG2010:00:00:00;141332;76614
