"Data Source","World Development Indicators",

"Last Updated Date","2020-07-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","981607427.198877","1139434503.72889","1351923640.91077","1515909822.86634","1575961100.76557","1701452873.81139","1801538336.97676","1933189215.44814","2091786180.15635","2145066984.42771","2170502935.00301","2323455541.5216","2369738447.19726","2399076806.9702","2581804607.81403","2505092564.79457","2423084691.96376","2470953875.24177","2666444959.29254","2698824916.29108","2727178974.02819","2776274358.20761","2773756053.97674","2481963892.1005","2390502793.29609","2472880828.36298","2439005748.52239","2541400876.22235","2549025078.85102","2694319530.67228","2750900229.65302","2805918209.60966","","",
"Afghanistan","AFG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7465114629.45783","8124454291.89637","8239343660.83276","9164598458.53793","9655582953.98019","10990594706.5564","11421973770.8233","13865194314.7185","15856574731.4411","15924179997.7914","17954877146.6564","18960483969.8941","19477070577.8584","19759744157.4377","20206376461.4103","20744935406.0955","21126660585.8192","21739593381.8903",
"Angola","AGO","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","26521454739.3477","25354510407.424","25354510407.424","26419400206.6848","28004564790.9003","28984724415.6282","29825281928.7841","31042973220.0603","32945563049.274","32959275474.2279","31822147944.9659","32137619768.5429","30261335305.5091","23003632935.648","23311735184.2501","26808495468.6162","30439537220.6655","32653793583.5545","34185630862.3453","34931386884.7791","35998409493.9414","37512502077.5097","42638843018.3648","43913680470.7819","48723485190.2997","56046096519.2992","62518122179.0755","71276922501.3154","79235802265.4368","79916210095.1644","83799496611.2004","86708999526.4744","94115810020.1367","98778862974.5316","103542597659.553","104519600360.537","101822893032.999","101673002179.768","99635905543.1713","98769677172.4472",
"Albania","ALB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","5323398063.85534","5629261101.74622","5795245314.54426","5859279197.39139","5785944655.55332","5888971729.57822","6220947386.67305","6171936109.61493","6084292169.38809","6682776548.1368","6042857912.55639","4350728279.80877","4038036612.66906","4424049156.84258","4791372056.26117","5429694612.20146","5923796791.7011","5276919124.81347","5742875711.85154","6483126460.62459","6933706092.26577","7508515182.79876","7849398816.77983","8283474557.11024","8739893896.95844","9223202583.88038","9767379279.88863","10351466806.2388","11127823665.7504","11500613161.6647","11926928505.5231","12230507222.1843","12403877841.0321","12528163103.1195","12750473701.782","13033375121.5884","13465406059.6498","13977387390.5945","14546448944.4056","14868516510.53",
"Andorra","AND","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","1012346692.50671","1059415401.3062","1145755038.99145","1234991794.42933","1304383386.5365","1311455827.07027","1354783534.84503","1393240089.2387","1413623194.23724","1414210656.38646","1445446717.57423","1443531869.0965","1461524932.50469","1487395653.0415","1513941005.34203","1549086131.92805","1599482888.42279","1688208158.34045","1774210988.9159","1859852760.9129","1930181002.39944","1979323466.15294","1997715576.45406","1977109459.69853","2024227688.97942","2080045751.05274","2176762473.45181","2374144159.09756","2449993086.30684","2550420283.40651","2640408325.59989","2854792522.86889","2984581731.4066","3244067347.20933","3507994166.77714","3697348535.06562","3875142516.24022","3935330770.25056","3716558398.51518","3519475009.94299","3449966856.68832","3449688452.87021","3278085642.31738","3161792390.29564","3240978390.56079","3287458570.8604","3409412700.51704","3421211719.47501","3475566750.62972","3539838260.639",
"Arab World","ARB","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","570547630544.534","660721631551.472","715070300861.815","710385139205.36","792341851032.385","864743236762.725","889910780798.849","809108638642.499","753757557906.132","763981527544.434","746452949397.426","781608208187.544","777733903583.31","821307595456.299","840670450724.263","950895579553.585","965295002561.523","1013387525911.08","1046534998432.27","1080006686406.45","1109756124917.59","1160763978421.45","1209979559712.74","1273698896460.48","1296497464311","1367283205455.91","1388765047669.61","1396871279341.16","1471347479724.25","1608499975924.05","1700985379563.65","1811581234774.96","1894049503889.47","2004070886762.66","2012593476297.94","2106020669993.19","2186392211763.76","2330478094443.92","2404686727561.27","2463539265634.32","2541720851661.54","2628692558082.55","2658585229962.03","2714145316715.14","2754272318120.72",
"United Arab Emirates","ARE","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","56806673982.3009","66195031477.1954","80386802831.8584","79108971545.2689","95661395017.0184","118500337753.574","124021477848.877","115688082614.023","110197733641.933","114624322913.547","110504178543.227","93974812607.2158","97153023580.6671","94608675561.6065","106281391095.984","125760629081.007","126842273546.63","131085077658.271","132738310796.46","141892141892.444","151381727243.022","160159451463.581","173277148999.319","173783108481.96","178826665568.414","198234194635.807","201007659577.944","205899094159.292","224019327978.216","245449995044.248","257366938869.98","282684947637.849","291686739332.879","300996902491.491","285215869952.349","289787338325.391","309870388019.061","323766916269.571","340127978216.474","354700093723.621","372810856991.15","384222464261.402","393342125492.114","398022328963.216","404700030656.58",
"Argentina","ARG","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","115573868508.15","121847036500.547","120808873523.837","114396100733.294","125984766250.65","139300642138.499","138381639345.114","142798776600.374","149685248718.023","164174071297.927","169174227931.948","178746327507.296","181657062226.624","186764812014.466","197100011389.723","197044011131.933","193067167388.744","206454730042.606","197151622246.269","217305966255.665","220606374392.254","209157368731.779","207618683386.485","216648213592.787","220051190931.379","208632681046.742","221470636587.663","227461126795.486","224981952135.064","208880107086.685","203726588308.536","222333162871.504","239980394235.249","259675534967.549","274830720366.623","267011210297.951","281768091694.844","304622433397.251","316350941905.026","305641016669.195","303229512290.352","289860609223.184","258281789127.305","281106256200.528","306488951656.956","333618311350.415","360465082297.96","392934518437.813","408876787794.809","384677312577.801","423627422092.49","449061807872.401","444452545623.356","455143068397.581","443707073929.401","455825423287.839","446342760088.163","458253820042.814","446880911357.643","437215091207.461",
"Armenia","ARM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6352022584.93724","5608836038.73775","3264342420.59851","2977080326.94852","3137842747.44916","3354353847.30527","3551100143.05314","3669035008.96927","3936874564.23193","4066791424.92995","4306732119.00081","4720178402.42488","5343241951.54497","6091295824.76127","6730881886.36119","7666474468.5654","8678449098.41603","9867396624.89905","10548246992.0171","9060944166.14266","9260284937.79782","9695518329.8743","10393595649.6253","10736584306.0629","11123101341.0811","11479040583.9957","11501998665.1637","12364648565.051","13007610290.4337","13996188672.5066",
"American Samoa","ASM","GDP (constant 2010 US$)","NY.GDP.MKTP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","623365638.76652","628440528.634361","631823788.546256","629286343.612335","603066079.295154","614907488.986784","598837004.405286","573462555.066079","576000000","577691629.955947","552317180.61674","537092511.013216","542167400.881057","549779735.682819","534555066.079295","503259911.894273","514255506.60793","",
